SMILES,IC50,Number_of_Atoms,Voronoi_Entropy
CN(C(CC1CCCCC1)C(=O)NN(CCC(=O)N)C(=O)CCl)C(=O)C2=CC3=CC=CC=C3N2,2.0,34,1.1056246048218226
CC(C)CC(C(=O)NC(CC1CCNC1=O)C(=O)COC(=O)C2CCCN2C)NC(=O)C3=CC4=C(N3)C=CC=C4OC,2.47,42,1.4256880212768273
CC(C)C(C(=O)NC(CC1=CC=CC=C1)C=O)NC(=O)OCC2=CC=CC=C2,2.5,28,1.2589910288554198
CC(C)CC(C(=O)NN(CC1CCNC1=O)C(=O)CCl)NC(=O)C2=CC3=CC=CC=C3N2,2.7,32,1.2286454556577162
COC1=C(C2=C(CN(C(C2)C(=O)O)C(=O)C(C3=CC=CC=C3)C4=CC=CC=C4)C=C1)OCC5=CC=CC=C5,75.0,38,0.8963792765729861
CC(C)CC(C(=O)NC(CC1CCNC1=O)C(=O)COC(=O)CN(C)C)NC(=O)C2=CC3=C(N2)C=CC=C3OC,2.98,40,1.3915535982351754
CC1(C2C1C(N(C2)C(=O)C(C(C)(C)C)NC(=O)C(F)(F)F)C(=O)NC(CC3CCNC3=O)C#N)C,3.0,35,1.4888509435533248
CC1(C2C1C(N(C2)C(=O)C(C(C)(C)C)NC(=O)C(F)(F)F)C(=O)NC(CC3CC(NC3=O)O)C#N)C,3.0,36,1.5041682138864356
CC1(C2C1C(N(C2)C(=O)C(C(C)(C)CO)NC(=O)C(F)(F)F)C(=O)NC(CC3CCNC3=O)C#N)C,3.0,36,1.521395089668902
COC1=CC=CC2=C1C=C(N2)C(=O)NC(CC3CCCCC3)C(=O)NN(CCC(=O)N)C(=O)C(F)Cl,3.0,36,1.2435007435173988
C1=CC=C(C=C1)CC(C(=O)NC(CCCN=C(N)N)C(=O)C2=NC3=CC=CC=C3S2)NC(=O)C(CCC(=O)N)NC(=O)C(CCCN=C(N)N)N,3.1,51,1.2668879680856815
CC(=O)NC(CCC(=O)N)C(=O)NC(CC1=CC=CC=C1)C(=O)NC(CCCN=C(N)N)C(=O)C2=NC3=CC=CC=C3S2,3.9,43,1.1895751054055173
C1=CC=C2C=C(C=CC2=C1)CN3C4=C(C=C(C=C4)C(=O)N)C(=O)C3=O,370.0,25,1.0893096789558299
CC(C)CC(C(=O)NC(CC1CCCNC1=O)C(=O)COC(=O)C2=CN=CC=C2)NC(=O)C3=CC4=C(N3)C=CC=C4OC,4.0,43,1.278062823009629
CC(C)(C)C(C(=O)N1CC(CC1C(=O)NC(CC2CCNC2=O)C#N)C(F)(F)F)NC(=O)C(F)(F)F,4.0,36,1.4276416016446258
CC1(C2C1C(N(C2)C(=O)C(C(C)(C)CO)NC(=O)C(F)(F)F)C(=O)NC(CC3CC(=O)NC3=O)C#N)C,4.0,37,1.5363260776013625
CC1=CC=C(C=C1)CC(=O)NC(C(=O)N2CC3C(C2C(=O)NC(CC4CCNC4=O)C#N)C3(C)C)C(C)(C)C,4.0,39,1.4070452849058157
CC1=CC(=NO1)C(=O)NC(CC2CCCCC2)C(=O)NN(CCC(=O)N)C(=O)CCl,4.0,30,1.1839637727244876
CC(C)CC(C(=O)NN(CCC(=O)N)C(=O)C(F)Cl)NC(=O)C1=CC2=C(N1)C=CC=C2OC,4.0,33,1.2859557042774035
CC1=C(C(=NC=C1)C)C(=O)OCC(=O)C(CC2CCNC2=O)NC(=O)C(CC(C)C)NC(=O)C3=CC4=C(N3)C=CC=C4OC,4.29,44,1.361355662112668
CC(C)CC(C(=O)NC(CC1CCNC1=O)C(=O)COC(=O)C2=CC=CC=N2)NC(=O)C3=CC4=C(N3)C=CC=C4OC,4.43,42,1.3975346032752454
C1CCC(CC1)CC(C(=O)NC(CC2CCCNC2=O)C(=O)C(=O)NCC3=CC=CC=C3)NC(=O)C4=NC5=CC=CC=C5N=C4,5.0,45,1.253773024914373
CC(C)(C)CC(C(=O)NC(CC1CCNC1=O)C#N)NC(=O)C2=CC3=C(C=CC(=C3N2)F)OC,5.0,34,1.4922019641062125
CC1(C2C1C(N(C2)C(=O)C(C(C)(C)C)NC(=O)NC)C(=O)NC(CC3CCNC3=O)C#N)C,5.0,33,1.4088131112702587
CC(C)CC(C(=O)NN(CCC(=O)N)C(=O)CCl)NC(=O)C=CC1=C(C=C(C=C1)Cl)F,5.0,31,0.9724399117161489
CC(C)CC(C(=O)NN(CCC(=O)N)C(=O)C(F)Cl)NC(=O)C1=CC2=CC=CC=C2N1,5.0,31,1.1322915013076411
CC(C)CC(C(=O)NN(CCC(=O)N)C(=O)CCl)NC(=O)C1=NC2=CC=CC=C2N1,5.0,30,1.2112465729695872
C1CCC(CC1)CC(C(=O)NN(CCC(=O)N)C(=O)C(F)Cl)NC(=O)C2=CC3=CC=CC=C3N2,5.0,34,1.1187433359857524
C1=CC=C(C=C1)CC(C(=O)NC(CCCN=C(N)N)C(=O)C2=NC3=CC=CC=C3S2)NC(=O)C(CCC(=O)O)NC(=O)C(CCCN=C(N)N)N,5.2,51,1.2668879680856815
CC(C)CC(C(=O)NC(CC1CCNC1=O)C(=O)COC(=O)C2=CC=NN2C)NC(=O)C3=CC4=C(N3)C=CC=C4OC,5.25,42,1.4256880212768273
C1=CC=C2C(=C1)C=C(O2)C(=O)OC3=CC(=CN=C3)Cl,170.0,19,1.1209503926735833
CC1=C(C(=NC(=N1)C2CCOCC2)C)C(=O)OCC(=O)C(CC3CCNC3=O)NC(=O)C(CC(C)C)NC(=O)C4=CC5=C(N4)C=CC=C5OC,5.5,50,1.4108332796554577
CC1=C(C(=NC(=N1)C)C)C(=O)OCC(=O)C(CC2CCNC2=O)NC(=O)C(CC(C)C)NC(=O)C3=CC4=C(N3)C=CC=C4OC,5.89,45,1.3807285451287044
CC1(C2C1C(N(C2)C(=O)C(CC3CCC3)NC(=O)C(F)(F)F)C(=O)NC(CC4CCNC4=O)C#N)C,6.0,36,1.4261642160862023
C1CCC(C1)CC(C(=O)NN(CCC(=O)N)C(=O)CCl)NC(=O)OCC2=CC=CC=C2,6.0,31,1.1220934680932761
CC(C)CC(C(=O)NC(CC1CCNC1=O)C(=O)COC(=O)C2CCN(CC2)C)NC(=O)C3=CC4=C(N3)C=CC=C4OC,6.13,43,1.3864713567614697
CC(C)(C)CC(C(=O)NC(CC1CCNC1=O)C(=O)C(=O)NC2CC2)NC(=O)C=CC3=C(C=C(C=C3)Cl)Cl,6.31,38,1.3255768414076812
CC(C)(C)CC(C(=O)NC(CC1CCNC1=O)C(=O)C(=O)N)NC(=O)C=CC2=C(C=C(C=C2)Cl)F,6.31,35,1.3381652935561863
CC(C)CC(C(=O)NC(CC1CCCNC1=O)C(=O)COC(=O)C2=C(C=CC=C2Cl)Cl)NC(=O)C3=CC4=C(N3)C=CC=C4OC,6.4,45,1.2449537211212136
C1CC2CN(C(C2C1)C(=O)NC(CC3CCNC3=O)C=O)C(=O)OCC4=CC=CC=C4,360.0,31,1.3654306466659107
CC(C)(C)NC(=O)C(=O)C(CC1CCNC1=O)NC(=O)C(CC2CCCCC2)NC(=O)C(CC3=CC=CC4=CC=CC=C43)NC(=O)OCC5=CC=C(C=C5)OCN6CCOCC6,6.6,62,1.4319340191418917
CC(C)CC(C(=O)NC(CC1CCNC1=O)C(=O)C(=O)NC(C)C)NC(=O)C(C(C)OC)NC(=O)OCC2=CC=CC=C2,6.8,43,1.0047654731191165
CCC1=CC=CC=C1NC(=O)CSC(=O)NNC(=O)C(CC2=CNC3=CC=CC=C32)NC(=O)OC(C)(C)C,6.9,38,1.3625890990784544
CC(C)(C)CC(C(=O)NC(CC1CCNC1=O)C(=O)CO)NC(=O)C2=CC3=C(N2)C=CC=C3OC,7.0,35,1.4202762992663212
CC(C)CC(C(=O)NC(CC1CCNC1=O)C(=O)C(=O)NC(C)C)NC(=O)C(CN2CCC(CC2)F)NC(=O)OCC3=CC=CC=C3,7.0,47,1.1779148151839374
CC(C)CC(C(=O)NC(CC1CCNC1=O)C(=O)C(=O)NC(C)(C)C)NC(=O)C(CN(C)C)NC(=O)OCC2=CC=CC=C2,7.0,44,1.189459233660356
CC(C)CC(C(=O)NC(CC1CCNC1=O)C(=O)C(=O)NC(C)C)NC(=O)C(CN2CCOCC2)NC(=O)OCC3=CC=CC=C3,7.0,46,1.1642327770537053
CC(C)CC(C(=O)NC(CC1CCNC1=O)C=O)NC(=O)OCC2CCC(CC2)(F)F,480.0,31,1.2380167995379123
CC(C)CC(C(=O)NC(CC1CCNC1=O)C(=O)C(=O)N(C)C)NC(=O)C(C(C)C)NC(=O)OCC2=CC=CC=C2,65.0,41,1.105483000806663
CC1(C2C1C(N(C2)C(=O)C(CC3CCC3)NC(=O)C(F)(F)F)C(=O)NC(CC4CCNC4=O)C#N)C,7.0,36,1.4261642160862023
CC1(C2C1C(N(C2)C(=O)C(C(C)(C)C)NC(=O)COC3=CC=C(C=C3)F)C(=O)NC(CC4CCNC4=O)C#N)C,7.0,40,1.4380223399852408
CC(C)CC(C(=O)NN(CCC(=O)N)C(=O)CCl)NC(=O)OC1=CC2=CC=CC=C2N1,50.0,31,1.122372129066931
CC(C)CC(C(=O)NN(CCC(=O)N)C(=O)CCl)N(C)C(=O)C1=CC2=CC=CC=C2N1,7.0,31,1.1680347446270387
CC(C)CC(C(=O)NN(CCC(=O)N)C(=O)C(F)Cl)NC(=O)C1=CC2=C(N1)C=CC(=C2)Cl,7.0,32,1.1554491885164895
CC(C)CC(C(=O)NN(CCC(=O)N)C(=O)C(F)Cl)NC(=O)C1=NC2=CC=CC=C2N1,7.0,31,1.1322915013076411
CC1=CN=CC(=C1C(=O)OCC(=O)C(CC2CCNC2=O)NC(=O)C(CC(C)C)NC(=O)C3=CC4=C(N3)C=CC=C4OC)C,7.56,44,1.361355662112668
C1CC2CN(C(C2C1)C(=O)NC(CC3CCNC3=O)C=O)C(=O)CCC4=CC(=CC=C4)F,7.6,32,1.3421131789144003
C1CC2CN(C(C2C1)C(=O)NC(CC3CCNC3=O)C=O)C(=O)CCC4=CC(=CC(=C4)F)F,7.6,33,1.2990852354988427
C1CC2CN(C(C2C1)C(=O)NC(CC3CCNC3=O)C=O)C(=O)CCC4=CC(=CC=C4)F,7.6,32,1.3421131789144003
C1CC2CN(C(C2C1)C(=O)NC(CC3CCNC3=O)C=O)C(=O)CCC4=CC(=CC(=C4)F)F,7.6,33,1.2990852354988427
CC1=CC(=CC(=C1CC(=O)OCC(=O)C(CC2CCNC2=O)NC(=O)C(CC(C)C)NC(=O)C3=CC4=C(N3)C=CC=C4OC)C)C#N,7.67,47,1.3659050207505155
CCC(CC(=O)NC(CC(C)(C)C)C(=O)NC(CC1CCNC1=O)C(=O)C(=O)NC2CC2)C3=CC=CC=C3,7.9,38,1.3162126716590614
CC(C)(C)CC(C(=O)NC(CC1CCNC1=O)C(=O)C(=O)N)NC(=O)C=CC2=C(C=C(C=C2)Cl)Cl,7.9,35,1.3381652935561863
CC(C)(C)CC(C(=O)NC(CC1CCNC1=O)C(=O)C(=O)NC2CC2)NC(=O)C=CC3=C(C=C(C=C3)Cl)F,7.94,38,1.3255768414076812
C1CC1CC(C(=O)NC(CC2CCNC2=O)C(=O)C(=O)NC3CC3)NC(=O)C=CC4=C(C=C(C=C4)Cl)F,16.0,37,1.1902912630372862
C1CCC(CC1)CC(C(=O)NN(CCC(=O)N)C(=O)CCl)NC(=O)OCC2=CC=CC=C2,8.0,32,1.0686175394975002
COC1=CC=CC2=C1C=C(N2)C(=O)NC(CC3CCCCC3)C(=O)NN(CCC(=O)N)C(=O)C(F)Cl,8.0,36,1.2435007435173988
CC(C)CC(C(=O)NN(CCC(=O)N)C(=O)C(F)Cl)NC(=O)C1=NC2=C(N1)C=C(C=C2)Cl,8.0,32,1.123696198583954
CC(C)CC(C(=O)NC(CC1CCNC1=O)C=O)NC(=O)C(C(C)C)NC(=O)OCC2=CC=CC=C2,60.0,36,1.2393534798962467
CC1=C(C(=CC=C1)Cl)CC(=O)OCC(=O)C(CC2CCNC2=O)NC(=O)C(CC(C)C)NC(=O)C3=CC4=C(N3)C=CC=C4OC,8.82,45,1.3080832228899653
CC1=C(C(=CC=C1)F)CC(=O)OCC(=O)C(CC2CCNC2=O)NC(=O)C(CC(C)C)NC(=O)C3=CC4=C(N3)C=CC=C4OC,8.91,45,1.3080832228899653
CC(C(C(=O)NC(CC1CCCCC1)C(=O)NC(CC2CCNC2=O)C=O)NC(=O)OCC3=CC=CC=C3)OC(C)(C)C,9.0,43,1.3752020937425333
C1CC2CN(C(C2C1)C(=O)NC(CC3CCNC3=O)C=O)C(=O)COC4=CC=C(C=C4)Cl,9.2,32,1.3538222091701462
C1CC2CN(C(C2C1)C(=O)NC(CC3CCNC3=O)C=O)C(=O)COC4=CC=C(C=C4)Cl,9.2,32,1.3538222091701462
CC(C)CC(C(=O)NC(CC1CCNC1=O)C(=O)COC(=O)C2=CN=CC=C2)NC(=O)C3=CC4=C(N3)C=CC=C4OC,9.57,42,1.3975346032752454
CC1=CC(=C(C=C1)C)N2C(=O)C3=C(S2)C=C(C=C3)F,20.0,19,1.240684291953396
CC(C)C(C(=O)NC(CC(=O)OC)C(=O)CF)NC(=O)C(CCC(=O)OC)NC(=O)C(CC(=O)OC)NC(=O)OCC1=CC=CC=C1,10.0,47,1.0755014271364172
CC(C)CC1C(=O)N2CCCC2C(=O)NC(C(=O)NC(CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N3CCCC3C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)CCCN=C(N)N)CC4=CC=C(C=C4)O)CC5=CC=C(C=C5)O)CC6=CNC7=CC=CC=C76)CC8=CNC9=CC=CC=C98)CCCCN)NC(=O)C(C(C)O)NC(=O)C(CC1=CC=C(C=C1)O)NC(=O)C1CCCN1C(=O)C(CC(=O)O)NC(=O)C1CCCN1C(=O)C(CCC(=O)O)NC(=O)CNC(=O)CNC(=O)CN)C(=O)NC(CC1=CN=CN1)C(=O)NC(CO)C(=O)NC(CC1=CC=C(C=C1)O)C(=O)NC(CC(=O)O)C(=O)NCC(=O)C)CO,10.0,215,1.5929396701078664
CCCCC1CCC(CC1)OC(=O)NC(CC(C)C)C(=O)NC(CC2CCNC2=O)C=O,900.0,32,1.3209711040904644
CC(C)CC(C(=O)NN(CCC(=O)N)C(=O)C(F)Cl)N(C)C(=O)C1=CC2=C(N1)C=CC(=C2)F,10.0,33,1.1196575232405934
C1CC1CC(C(=O)NC(CC2CCNC2=O)C(=O)C(=O)NC3CC3)NC(=O)C=CC4=C(C=C(C=C4)Cl)Cl,10.0,37,1.1902912630372862
CCC(CC(=O)NC(CC(C)(C)C)C(=O)NC(CC1CCNC1=O)C(=O)C(=O)NC2CC2)C3=CC=CC=C3,10.0,38,1.3162126716590614
CCNC(=O)C(=O)C(CC1CCNC1=O)NC(=O)C(CC(C)(C)C)NC(=O)C=CC2=C(C=C(C=C2)Cl)Cl,10.0,37,1.3255768414076812
CC(CS)C(=O)N1CCCC1C(=O)O,11.0,14,1.0789922078775833
CC(C)CC(C(=O)NC(CC1CCNC1=O)C(=O)COC(=O)CC2=CC=CC=C2Cl)NC(=O)C3=CC4=C(N3)C=CC=C4OC,11.0,44,1.3210570261143626
CC1(C2C1C(N(C2)C(=O)C(CC(F)F)NC(=O)C(F)(F)F)C(=O)NC(CC3CCNC3=O)C#N)C,11.0,35,1.3817860322593332
CCC(C(C(=O)N1CC2C(C1C(=O)NC(CC3CCNC3=O)C#N)C2(C)C)NC(=O)C(F)(F)F)C(F)(F)F,11.0,38,1.2776737260851796
CC1=CC(=NO1)C(=O)NC(CC23CC(C2)C3)C(=O)NN(CC4CCNC4=O)C(=O)C(F)Cl,180.0,32,1.4447234218062492
CC1(C2C1C(N(C2)C(=O)COC3=CC(=C(C=C3)Cl)Cl)C(=O)NC(CC4CCNC4=O)C=O)C,12.0,33,1.292571837016756
CC1(C2C1C(N(C2)C(=O)COC3=CC(=C(C=C3)Cl)Cl)C(=O)NC(CC4CCNC4=O)C=O)C,12.0,33,1.292571837016756
CC1(C2C1C(N(C2)C(=O)COC3=CC(=C(C=C3)F)F)C(=O)NC(CC4CCNC4=O)C=O)C,13.0,33,1.292571837016756
CC1(C2C1C(N(C2)C(=O)COC3=C(C=C(C=C3)Br)Cl)C(=O)NC(CC4CCNC4=O)C=O)C,13.0,33,1.2295820676055655
CC1(C2C1C(N(C2)C(=O)COC3=C(C=C(C=C3)Cl)Cl)C(=O)NC(CC4CCNC4=O)C=O)C,13.0,33,1.2295820676055655
CC(C)CC(C(=O)NC(CC1CCCNC1=O)C(=O)COC(=O)C2(OCCCO2)C)NC(=O)C3=CC4=C(N3)C=CC=C4OC,13.0,44,1.4292229060472053
CC(C)C(C(=O)N1CC2C(C1C(=O)NC(CC3CCNC3=O)C#N)C2(C)C)NC(=O)C(F)(F)F,13.0,34,1.3157866830355225
CC1(C2C1C(N(C2)C(=O)COC3=CC(=C(C=C3)F)F)C(=O)NC(CC4CCNC4=O)C=O)C,13.0,33,1.292571837016756
CC1(C2C1C(N(C2)C(=O)COC3=C(C=C(C=C3)Br)Cl)C(=O)NC(CC4CCNC4=O)C=O)C,13.0,33,1.2295820676055655
CC1(C2C1C(N(C2)C(=O)COC3=C(C=C(C=C3)Cl)Cl)C(=O)NC(CC4CCNC4=O)C=O)C,13.0,33,1.2295820676055655
CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,13.0,37,1.045098040870533
CC(C)(C)CC(C(=O)NN(CCC(=O)N)C(=O)C(F)Cl)NC(=O)C1=NC2=CC=CC=C2N1,13.0,32,1.4239032454127065
CC1=CC(=NO1)C(=O)NC(CC2CCC2)C(=O)NN(CC3CCNC3=O)C(=O)C(F)Cl,620.0,31,1.2806059903690397
CC(C)CC(C(=O)NN(CCC(=O)N)C(=O)C(F)Cl)NC(=O)C1=CC2=C(N1)C=NC=C2,13.0,31,1.1322915013076411
C1CC1CC(C(=O)NC(CC2CCNC2=O)C(=O)C(=O)N)NC(=O)C=CC3=C(C=C(C=C3)Cl)F,13.0,34,1.1553465425096352
CC(C)(C)CC(C(=O)NC(CC1CCNC1=O)C(=O)C(=O)NC2CC2)NC(=O)CC(C3=CC=CC=C3)C(F)(F)F,13.0,40,1.4938871182482618
CC(C)CC(C(=O)NC(CC1CCNC1=O)C(=O)C(=O)N)NC(=O)C=CC2=C(C=C(C=C2)Cl)F,13.0,34,1.0054668293254954
CCNC(=O)C(=O)C(CC1CCNC1=O)NC(=O)C(CC2CC2)NC(=O)C=CC3=C(C=C(C=C3)Cl)F,13.0,36,1.1735173549838456
CCNC(=O)C(=O)C(CC1CCNC1=O)NC(=O)C(CC(C)(C)C)NC(=O)C=CC2=C(C=C(C=C2)Cl)F,13.0,37,1.3255768414076812
CCNC(=O)C(=O)C(CC1CCNC1=O)NC(=O)C(CC2CC2)NC(=O)C=CC3=C(C=C(C=C3)Cl)Cl,13.0,36,1.1735173549838456
CCC(CC(=O)NC(CC1CC1)C(=O)NC(CC2CCNC2=O)C(=O)C(=O)NC3CC3)C4=CC=CC=C4,13.0,37,1.1680632181194017
C1=CC=C2C(=C1)N=NN2OC(=O)C(=O)C3=CC4=C(N3)C=C(C=C4)F,14.0,24,1.331660286822432
CC1=CC(=C(C(=N1)C)C(=O)OCC(=O)C(CC2CCCNC2=O)NC(=O)C(CC(C)C)NC(=O)C3=CC4=C(N3)C=CC=C4OC)C(F)(F)F,14.0,49,1.4097081013532113
CC1=C(C=CC=N1)C(=O)OCC(=O)C(CC2CCNC2=O)NC(=O)C(CC(C)C)NC(=O)C3=CC4=C(N3)C=CC=C4OC,14.0,43,1.3866874823832476
CC1=C(C(=NC=C1)CN(C)C)C(=O)OCC(=O)C(CC2CCNC2=O)NC(=O)C(CC(C)C)NC(=O)C3=CC4=C(N3)C=CC=C4OC,14.0,47,1.3648730085116358
CC(C)CC(C(=O)NC(CC1CCNC1=O)C(=O)COC(=O)CC2=CC=CC=C2CN(C)C)NC(=O)C3=CC4=C(N3)C=CC=C4OC,14.0,47,1.2934602650462337
CC1(C2C1C(N(C2)C(=O)C(CN3C=CC=N3)NC(=O)C(F)(F)F)C(=O)NC(CC4CCNC4=O)C#N)C,14.0,37,1.4261642160862023
CC(C)CC(C(=O)NN(CCC(=O)N)C(=O)CCl)NC(=O)C1=CC2=CC(=NC=C2N1)OC,14.0,32,1.2319253440933458
CC(C)CC(C(=O)NN(CCC(=O)N)C(=O)CCl)NC(=O)C1=CC2=C(N1)C=CN=C2,14.0,30,1.2112465729695872
CC(C)CC(C(=O)NN(CCC(=O)N)C(=O)C(F)Cl)NC(=O)C1=CC2=C(N1)C=CC=C2Cl,14.0,32,1.1645953713991983
CC(C)C(C(=O)NC(CC1=CC=CC=C1)C(=O)NC(CC2CCNC2=O)C=O)NC(=O)OCC3=CC=CC=C3,15.0,39,1.2253397900924436
CC1(C2C1C(N(C2)C(=O)COC3=CC(=C(C=C3)OC)OC)C(=O)NC(CC4CCNC4=O)C=O)C,15.0,35,1.2941845428361096
CC1(C2C1C(N(C2)C(=O)COC3=CC=C(C=C3)OC(F)(F)F)C(=O)NC(CC4CCNC4=O)C=O)C,15.0,36,1.414069619291211
CC1(C2C1C(N(C2)C(=O)C(CC3=CC=CC=N3)NC(=O)C(F)(F)F)C(=O)NC(CC4CCNC4=O)C#N)C,15.0,38,1.4140696192912108
CC1(C2C1C(N(C2)C(=O)COC3=CC(=C(C=C3)OC)OC)C(=O)NC(CC4CCNC4=O)C=O)C,15.0,35,1.2941845428361096
CC1(C2C1C(N(C2)C(=O)COC3=CC=C(C=C3)OC(F)(F)F)C(=O)NC(CC4CCNC4=O)C=O)C,15.0,36,1.414069619291211
CC(C)CC(C(=O)NN(CCC(=O)N)C(=O)C(F)Cl)NC(=O)C1=CC2=C(N1)C=CC=C2OC,15.0,33,1.2859557042774035
CC(C)CC(C(=O)NN(CC1CCNC1=O)C(=O)CCl)NC(=O)C2=CC3=CC=CC=C3N2,60.0,32,1.2286454556577162
CC1=CC(=NO1)C(=O)NC(CC2(CC2)C)C(=O)NN(CC3CCNC3=O)C(=O)C(F)Cl,94.0,31,1.4578521065835315
CC1(C2C1C(N(C2)C(=O)C(CCC(F)(F)F)NC(=O)C(F)(F)F)C(=O)NC(CC3CCNC3=O)C#N)C,16.0,37,1.4261642160862023
C1CC1CC(C(=O)NC(CC2CCNC2=O)C(=O)C(=O)NC3CC3)NC(=O)OCC4=CC=CC=C4,16.0,35,1.1849533573427236
CC(CC(=O)NC(CC(C)(C)C)C(=O)NC(CC1CCNC1=O)C(=O)C(=O)NC2CC2)C3=CC=CC=C3,16.0,37,1.3473080095562247
CC(CC(=O)NC(CC(C)(C)C)C(=O)NC(CC1CCNC1=O)C(=O)C(=O)NC2CC2)C3=CC=CC=C3,16.0,37,1.3473080095562247
C1=CC(=CC(=C1)C#N)CN2C3=C(C=CC=C3Br)C(=O)C2=O,17.0,21,1.286057336874379
CC(C)CC(C(=O)NC(CC1CCNC1=O)C(=O)COC(=O)C2=CC=CC=C2C#N)NC(=O)C3=CC4=C(N3)C=CC=C4OC,17.0,44,1.4221542662628186
