CID,IC50,SMILES,MolecularWeight,NumAtoms,NumTorsions
91933387,1.5,CC(C)CC(C(=O)NC(CS)C(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC(C(C)O)C(=O)NC(CC3=CNC4=CC=CC=C43)C(=O)NC(CCC(=O)O)C(=O)NC(C(C)O)C(=O)NC(CS)C(=O)NC(CCC(=O)O)C(=O)NC(CCCN=C(N)N)C(=O)O)NC(=O)C(C(C)C)NC(=O)C(CCC(=O)O)NC(=O)C(CC5=CNC6=CC=CC=C65)NC(=O)C(CCC(=O)O)NC(=O)C(CCC(=O)O)N,1999.2,140,61
135169285,1.9,CS(=O)(=O)NC(CCC(=O)N)C(=O)NC(CC1=CC=CC=C1)C(=O)NC(CCCN=C(N)N)C(=O)C2=NC3=CC=CC=C3S2,644.8,44,17
146362775,2.0,C1CCC(CC1)CC(C(=O)NC(CC2CCCNC2=O)C(=O)C(=O)NCC3=CC=CC=C3)NC(=O)C4=CC5=CC=CC=C5N4,599.7,44,12
156480529,2.0,C1CC(C(=O)NC1)CC(C(=O)C(=O)NCC2=CC=CC=C2)NC(=O)C(CC3=CC=CC=C3)NC(=O)C4=NC5=CC=CC=C5N=C4,606.7,45,12
162396383,2.0,CC(C)CC(C(=O)NC(CC1CCNC1=O)C#N)NC(=O)C2=CC3=C(C=CC(=C3N2)F)OC,457.5,33,9
162680095,2.0,C1CCC(CC1)CC(C(=O)NN(CCC(=O)N)C(=O)C(F)Cl)NC(=O)OCC2=CC=CC=C2,484.9,33,10
162680105,6.0,CC(C)CC(C(=O)NN(CCC(=O)N)C(=O)CCl)NC(=O)OC1=CC2=C(N1)C=CC=C2OC,481.9,33,10
162680110,2.0,C1CCC(CC1)CC(C(=O)NN(CCC(=O)N)C(=O)CCl)NC(=O)C=CC2=C(C=C(C=C2)Cl)F,515.4,34,10
162680112,2.0,C1CCC(CC1)CC(C(=O)NN(CCC(=O)N)C(=O)CCl)NC(=O)C2=CC3=CC=CC=C3N2,476.0,33,9
162680118,2.0,CN(C(CC1CCCCC1)C(=O)NN(CCC(=O)N)C(=O)CCl)C(=O)C2=CC3=CC=CC=C3N2,490.0,34,9
162396361,2.47,CC(C)CC(C(=O)NC(CC1CCNC1=O)C(=O)COC(=O)C2CCCN2C)NC(=O)C3=CC4=C(N3)C=CC=C4OC,583.7,42,13
9907994,2.5,CC(C)C(C(=O)NC(CC1=CC=CC=C1)C=O)NC(=O)OCC2=CC=CC=C2,382.5,28,9
162680133,2.7,CC(C)CC(C(=O)NN(CC1CCNC1=O)C(=O)CCl)NC(=O)C2=CC3=CC=CC=C3N2,461.9,32,8
9892451,75.0,COC1=C(C2=C(CN(C(C2)C(=O)O)C(=O)C(C3=CC=CC=C3)C4=CC=CC=C4)C=C1)OCC5=CC=CC=C5,507.6,38,8
156882218,2.98,CC(C)CC(C(=O)NC(CC1CCNC1=O)C(=O)COC(=O)CN(C)C)NC(=O)C2=CC3=C(N2)C=CC=C3OC,557.6,40,14
155903259,3.0,CC1(C2C1C(N(C2)C(=O)C(C(C)(C)C)NC(=O)C(F)(F)F)C(=O)NC(CC3CCNC3=O)C#N)C,499.5,35,6
162396445,3.0,CC1(C2C1C(N(C2)C(=O)C(C(C)(C)C)NC(=O)C(F)(F)F)C(=O)NC(CC3CC(NC3=O)O)C#N)C,515.5,36,6
162396448,3.0,CC1(C2C1C(N(C2)C(=O)C(C(C)(C)CO)NC(=O)C(F)(F)F)C(=O)NC(CC3CCNC3=O)C#N)C,515.5,36,8
162680140,3.0,COC1=CC=CC2=C1C=C(N2)C(=O)NC(CC3CCCCC3)C(=O)NN(CCC(=O)N)C(=O)C(F)Cl,524.0,36,10
118720339,3.1,C1=CC=C(C=C1)CC(C(=O)NC(CCCN=C(N)N)C(=O)C2=NC3=CC=CC=C3S2)NC(=O)C(CCC(=O)N)NC(=O)C(CCCN=C(N)N)N,722.9,51,21
135169329,3.9,CC(=O)NC(CCC(=O)N)C(=O)NC(CC1=CC=CC=C1)C(=O)NC(CCCN=C(N)N)C(=O)C2=NC3=CC=CC=C3S2,608.7,43,16
515964,370.0,C1=CC=C2C=C(C=CC2=C1)CN3C4=C(C=C(C=C4)C(=O)N)C(=O)C3=O,330.3,25,3
156023318,4.0,CC(C)CC(C(=O)NC(CC1CCCNC1=O)C(=O)COC(=O)C2=CN=CC=C2)NC(=O)C3=CC4=C(N3)C=CC=C4OC,591.7,43,13
162396441,4.0,CC(C)(C)C(C(=O)N1CC(CC1C(=O)NC(CC2CCNC2=O)C#N)C(F)(F)F)NC(=O)C(F)(F)F,527.5,36,6
162396449,4.0,CC1(C2C1C(N(C2)C(=O)C(C(C)(C)CO)NC(=O)C(F)(F)F)C(=O)NC(CC3CC(=O)NC3=O)C#N)C,529.5,37,8
162396456,4.0,CC1=CC=C(C=C1)CC(=O)NC(C(=O)N2CC3C(C2C(=O)NC(CC4CCNC4=O)C#N)C3(C)C)C(C)(C)C,535.7,39,8
162680128,4.0,CC1=CC(=NO1)C(=O)NC(CC2CCCCC2)C(=O)NN(CCC(=O)N)C(=O)CCl,441.9,30,9
162680137,4.0,CC(C)CC(C(=O)NN(CCC(=O)N)C(=O)C(F)Cl)NC(=O)C1=CC2=C(N1)C=CC=C2OC,483.9,33,10
156882201,4.29,CC1=C(C(=NC=C1)C)C(=O)OCC(=O)C(CC2CCNC2=O)NC(=O)C(CC(C)C)NC(=O)C3=CC4=C(N3)C=CC=C4OC,605.7,44,13
156882208,4.43,CC(C)CC(C(=O)NC(CC1CCNC1=O)C(=O)COC(=O)C2=CC=CC=N2)NC(=O)C3=CC4=C(N3)C=CC=C4OC,577.6,42,13
146362755,5.0,C1CCC(CC1)CC(C(=O)NC(CC2CCCNC2=O)C(=O)C(=O)NCC3=CC=CC=C3)NC(=O)C4=NC5=CC=CC=C5N=C4,612.7,45,12
162396388,5.0,CC(C)(C)CC(C(=O)NC(CC1CCNC1=O)C#N)NC(=O)C2=CC3=C(C=CC(=C3N2)F)OC,471.5,34,8
162396442,5.0,CC1(C2C1C(N(C2)C(=O)C(C(C)(C)C)NC(=O)NC)C(=O)NC(CC3CCNC3=O)C#N)C,460.6,33,6
162680111,5.0,CC(C)CC(C(=O)NN(CCC(=O)N)C(=O)CCl)NC(=O)C=CC1=C(C=C(C=C1)Cl)F,475.3,31,10
162680120,5.0,CC(C)CC(C(=O)NN(CCC(=O)N)C(=O)C(F)Cl)NC(=O)C1=CC2=CC=CC=C2N1,453.9,31,9
162680122,5.0,CC(C)CC(C(=O)NN(CCC(=O)N)C(=O)CCl)NC(=O)C1=NC2=CC=CC=C2N1,436.9,30,9
162680146,5.0,C1CCC(CC1)CC(C(=O)NN(CCC(=O)N)C(=O)C(F)Cl)NC(=O)C2=CC3=CC=CC=C3N2,494.0,34,9
162680183,5.2,C1=CC=C(C=C1)CC(C(=O)NC(CCCN=C(N)N)C(=O)C2=NC3=CC=CC=C3S2)NC(=O)C(CCC(=O)O)NC(=O)C(CCCN=C(N)N)N,723.8,51,21
156882210,5.25,CC(C)CC(C(=O)NC(CC1CCNC1=O)C(=O)COC(=O)C2=CC=NN2C)NC(=O)C3=CC4=C(N3)C=CC=C4OC,580.6,42,13
16204318,170.0,C1=CC=C2C(=C1)C=C(O2)C(=O)OC3=CC(=CN=C3)Cl,273.67,19,2
156882237,5.5,CC1=C(C(=NC(=N1)C2CCOCC2)C)C(=O)OCC(=O)C(CC3CCNC3=O)NC(=O)C(CC(C)C)NC(=O)C4=CC5=C(N4)C=CC=C5OC,690.8,50,14
156882196,5.89,CC1=C(C(=NC(=N1)C)C)C(=O)OCC(=O)C(CC2CCNC2=O)NC(=O)C(CC(C)C)NC(=O)C3=CC4=C(N3)C=CC=C4OC,620.7,45,13
162396452,6.0,CC1(C2C1C(N(C2)C(=O)C(CC3CCC3)NC(=O)C(F)(F)F)C(=O)NC(CC4CCNC4=O)C#N)C,511.5,36,8
162680090,6.0,C1CCC(C1)CC(C(=O)NN(CCC(=O)N)C(=O)CCl)NC(=O)OCC2=CC=CC=C2,452.9,31,10
156882199,6.13,CC(C)CC(C(=O)NC(CC1CCNC1=O)C(=O)COC(=O)C2CCN(CC2)C)NC(=O)C3=CC4=C(N3)C=CC=C4OC,597.7,43,13
164532017,6.31,CC(C)(C)CC(C(=O)NC(CC1CCNC1=O)C(=O)C(=O)NC2CC2)NC(=O)C=CC3=C(C=C(C=C3)Cl)Cl,565.5,38,11
165112136,6.31,CC(C)(C)CC(C(=O)NC(CC1CCNC1=O)C(=O)C(=O)N)NC(=O)C=CC2=C(C=C(C=C2)Cl)F,509.0,35,10
156023315,6.4,CC(C)CC(C(=O)NC(CC1CCCNC1=O)C(=O)COC(=O)C2=C(C=CC=C2Cl)Cl)NC(=O)C3=CC4=C(N3)C=CC=C4OC,659.6,45,13
156596252,360.0,C1CC2CN(C(C2C1)C(=O)NC(CC3CCNC3=O)C=O)C(=O)OCC4=CC=CC=C4,427.5,31,7
156907382,6.6,CC(C)(C)NC(=O)C(=O)C(CC1CCNC1=O)NC(=O)C(CC2CCCCC2)NC(=O)C(CC3=CC=CC4=CC=CC=C43)NC(=O)OCC5=CC=C(C=C5)OCN6CCOCC6,855.0,62,18
156907383,6.8,CC(C)CC(C(=O)NC(CC1CCNC1=O)C(=O)C(=O)NC(C)C)NC(=O)C(C(C)OC)NC(=O)OCC2=CC=CC=C2,603.7,43,16
73311672,6.9,CCC1=CC=CC=C1NC(=O)CSC(=O)NNC(=O)C(CC2=CNC3=CC=CC=C32)NC(=O)OC(C)(C)C,539.6,38,8
73019534,7.0,CC(C)(C)CC(C(=O)NC(CC1CCNC1=O)C(=O)CO)NC(=O)C2=CC3=C(N2)C=CC=C3OC,486.6,35,10
134306141,7.0,CC(C)CC(C(=O)NC(CC1CCNC1=O)C(=O)C(=O)NC(C)C)NC(=O)C(CN2CCC(CC2)F)NC(=O)OCC3=CC=CC=C3,660.8,47,16
134313938,7.0,CC(C)CC(C(=O)NC(CC1CCNC1=O)C(=O)C(=O)NC(C)(C)C)NC(=O)C(CN(C)C)NC(=O)OCC2=CC=CC=C2,616.7,44,15
134313939,7.0,CC(C)CC(C(=O)NC(CC1CCNC1=O)C(=O)C(=O)NC(C)C)NC(=O)C(CN2CCOCC2)NC(=O)OCC3=CC=CC=C3,644.8,46,16
154699461,480.0,CC(C)CC(C(=O)NC(CC1CCNC1=O)C=O)NC(=O)OCC2CCC(CC2)(F)F,445.5,31,10
156023324,65.0,CC(C)CC(C(=O)NC(CC1CCNC1=O)C(=O)C(=O)N(C)C)NC(=O)C(C(C)C)NC(=O)OCC2=CC=CC=C2,573.7,41,14
162396453,7.0,CC1(C2C1C(N(C2)C(=O)C(CC3CCC3)NC(=O)C(F)(F)F)C(=O)NC(CC4CCNC4=O)C#N)C,511.5,36,8
162396455,7.0,CC1(C2C1C(N(C2)C(=O)C(C(C)(C)C)NC(=O)COC3=CC=C(C=C3)F)C(=O)NC(CC4CCNC4=O)C#N)C,555.6,40,9
162680106,50.0,CC(C)CC(C(=O)NN(CCC(=O)N)C(=O)CCl)NC(=O)OC1=CC2=CC=CC=C2N1,451.9,31,9
162680119,7.0,CC(C)CC(C(=O)NN(CCC(=O)N)C(=O)CCl)N(C)C(=O)C1=CC2=CC=CC=C2N1,449.9,31,9
162680144,7.0,CC(C)CC(C(=O)NN(CCC(=O)N)C(=O)C(F)Cl)NC(=O)C1=CC2=C(N1)C=CC(=C2)Cl,488.3,32,9
162680152,7.0,CC(C)CC(C(=O)NN(CCC(=O)N)C(=O)C(F)Cl)NC(=O)C1=NC2=CC=CC=C2N1,454.9,31,9
156882219,7.56,CC1=CN=CC(=C1C(=O)OCC(=O)C(CC2CCNC2=O)NC(=O)C(CC(C)C)NC(=O)C3=CC4=C(N3)C=CC=C4OC)C,605.7,44,13
155803081,7.6,C1CC2CN(C(C2C1)C(=O)NC(CC3CCNC3=O)C=O)C(=O)CCC4=CC(=CC=C4)F,443.5,32,8
155803083,7.6,C1CC2CN(C(C2C1)C(=O)NC(CC3CCNC3=O)C=O)C(=O)CCC4=CC(=CC(=C4)F)F,461.5,33,8
162533642,7.6,C1CC2CN(C(C2C1)C(=O)NC(CC3CCNC3=O)C=O)C(=O)CCC4=CC(=CC=C4)F,443.5,32,8
162533644,7.6,C1CC2CN(C(C2C1)C(=O)NC(CC3CCNC3=O)C=O)C(=O)CCC4=CC(=CC(=C4)F)F,461.5,33,8
162396365,7.67,CC1=CC(=CC(=C1CC(=O)OCC(=O)C(CC2CCNC2=O)NC(=O)C(CC(C)C)NC(=O)C3=CC4=C(N3)C=CC=C4OC)C)C#N,643.7,47,14
164532054,7.9,CCC(CC(=O)NC(CC(C)(C)C)C(=O)NC(CC1CCNC1=O)C(=O)C(=O)NC2CC2)C3=CC=CC=C3,526.7,38,13
165112140,7.9,CC(C)(C)CC(C(=O)NC(CC1CCNC1=O)C(=O)C(=O)N)NC(=O)C=CC2=C(C=C(C=C2)Cl)Cl,525.4,35,10
164532061,7.94,CC(C)(C)CC(C(=O)NC(CC1CCNC1=O)C(=O)C(=O)NC2CC2)NC(=O)C=CC3=C(C=C(C=C3)Cl)F,549.0,38,11
165112135,16.0,C1CC1CC(C(=O)NC(CC2CCNC2=O)C(=O)C(=O)NC3CC3)NC(=O)C=CC4=C(C=C(C=C4)Cl)F,533.0,37,12
162680089,8.0,C1CCC(CC1)CC(C(=O)NN(CCC(=O)N)C(=O)CCl)NC(=O)OCC2=CC=CC=C2,467.0,32,10
162680139,8.0,COC1=CC=CC2=C1C=C(N2)C(=O)NC(CC3CCCCC3)C(=O)NN(CCC(=O)N)C(=O)C(F)Cl,524.0,36,10
162680147,8.0,CC(C)CC(C(=O)NN(CCC(=O)N)C(=O)C(F)Cl)NC(=O)C1=NC2=C(N1)C=C(C=C2)Cl,489.3,32,9
154699455,60.0,CC(C)CC(C(=O)NC(CC1CCNC1=O)C=O)NC(=O)C(C(C)C)NC(=O)OCC2=CC=CC=C2,502.6,36,13
162396367,8.82,CC1=C(C(=CC=C1)Cl)CC(=O)OCC(=O)C(CC2CCNC2=O)NC(=O)C(CC(C)C)NC(=O)C3=CC4=C(N3)C=CC=C4OC,639.1,45,14
162396369,8.91,CC1=C(C(=CC=C1)F)CC(=O)OCC(=O)C(CC2CCNC2=O)NC(=O)C(CC(C)C)NC(=O)C3=CC4=C(N3)C=CC=C4OC,622.7,45,14
49771527,9.0,CC(C(C(=O)NC(CC1CCCCC1)C(=O)NC(CC2CCNC2=O)C=O)NC(=O)OCC3=CC=CC=C3)OC(C)(C)C,600.7,43,14
155803088,9.2,C1CC2CN(C(C2C1)C(=O)NC(CC3CCNC3=O)C=O)C(=O)COC4=CC=C(C=C4)Cl,461.9,32,8
162533649,9.2,C1CC2CN(C(C2C1)C(=O)NC(CC3CCNC3=O)C=O)C(=O)COC4=CC=C(C=C4)Cl,461.9,32,8
156882216,9.57,CC(C)CC(C(=O)NC(CC1CCNC1=O)C(=O)COC(=O)C2=CN=CC=C2)NC(=O)C3=CC4=C(N3)C=CC=C4OC,577.6,42,13
1510389,20.0,CC1=CC(=C(C=C1)C)N2C(=O)C3=C(S2)C=C(C=C3)F,273.3,19,1
16760394,10.0,CC(C)C(C(=O)NC(CC(=O)OC)C(=O)CF)NC(=O)C(CCC(=O)OC)NC(=O)C(CC(=O)OC)NC(=O)OCC1=CC=CC=C1,668.7,47,19
91935532,10.0,CC(C)CC1C(=O)N2CCCC2C(=O)NC(C(=O)NC(CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N3CCCC3C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)CCCN=C(N)N)CC4=CC=C(C=C4)O)CC5=CC=C(C=C5)O)CC6=CNC7=CC=CC=C76)CC8=CNC9=CC=CC=C98)CCCCN)NC(=O)C(C(C)O)NC(=O)C(CC1=CC=C(C=C1)O)NC(=O)C1CCCN1C(=O)C(CC(=O)O)NC(=O)C1CCCN1C(=O)C(CCC(=O)O)NC(=O)CNC(=O)CNC(=O)CN)C(=O)NC(CC1=CN=CN1)C(=O)NC(CO)C(=O)NC(CC1=CC=C(C=C1)O)C(=O)NC(CC(=O)O)C(=O)NCC(=O)C)CO,3031.3,215,61
154699460,900.0,CCCCC1CCC(CC1)OC(=O)NC(CC(C)C)C(=O)NC(CC2CCNC2=O)C=O,451.6,32,12
162680142,10.0,CC(C)CC(C(=O)NN(CCC(=O)N)C(=O)C(F)Cl)N(C)C(=O)C1=CC2=C(N1)C=CC(=C2)F,485.9,33,9
164532136,10.0,C1CC1CC(C(=O)NC(CC2CCNC2=O)C(=O)C(=O)NC3CC3)NC(=O)C=CC4=C(C=C(C=C4)Cl)Cl,549.4,37,12
165112130,10.0,CCC(CC(=O)NC(CC(C)(C)C)C(=O)NC(CC1CCNC1=O)C(=O)C(=O)NC2CC2)C3=CC=CC=C3,526.7,38,13
165112139,10.0,CCNC(=O)C(=O)C(CC1CCNC1=O)NC(=O)C(CC(C)(C)C)NC(=O)C=CC2=C(C=C(C=C2)Cl)Cl,553.5,37,11
44093,11.0,CC(CS)C(=O)N1CCCC1C(=O)O,217.29,14,3
162396360,11.0,CC(C)CC(C(=O)NC(CC1CCNC1=O)C(=O)COC(=O)CC2=CC=CC=C2Cl)NC(=O)C3=CC4=C(N3)C=CC=C4OC,625.1,44,14
162396458,11.0,CC1(C2C1C(N(C2)C(=O)C(CC(F)F)NC(=O)C(F)(F)F)C(=O)NC(CC3CCNC3=O)C#N)C,507.5,35,8
162396460,11.0,CCC(C(C(=O)N1CC2C(C1C(=O)NC(CC3CCNC3=O)C#N)C2(C)C)NC(=O)C(F)(F)F)C(F)(F)F,553.5,38,8
162680158,180.0,CC1=CC(=NO1)C(=O)NC(CC23CC(C2)C3)C(=O)NN(CC4CCNC4=O)C(=O)C(F)Cl,469.9,32,8
155803073,12.0,CC1(C2C1C(N(C2)C(=O)COC3=CC(=C(C=C3)Cl)Cl)C(=O)NC(CC4CCNC4=O)C=O)C,496.4,33,8
162533634,12.0,CC1(C2C1C(N(C2)C(=O)COC3=CC(=C(C=C3)Cl)Cl)C(=O)NC(CC4CCNC4=O)C=O)C,496.4,33,8
155803065,13.0,CC1(C2C1C(N(C2)C(=O)COC3=CC(=C(C=C3)F)F)C(=O)NC(CC4CCNC4=O)C=O)C,463.5,33,8
155803071,13.0,CC1(C2C1C(N(C2)C(=O)COC3=C(C=C(C=C3)Br)Cl)C(=O)NC(CC4CCNC4=O)C=O)C,540.8,33,8
155803074,13.0,CC1(C2C1C(N(C2)C(=O)COC3=C(C=C(C=C3)Cl)Cl)C(=O)NC(CC4CCNC4=O)C=O)C,496.4,33,8
156023312,13.0,CC(C)CC(C(=O)NC(CC1CCCNC1=O)C(=O)COC(=O)C2(OCCCO2)C)NC(=O)C3=CC4=C(N3)C=CC=C4OC,614.7,44,13
162396372,13.0,CC(C)C(C(=O)N1CC2C(C1C(=O)NC(CC3CCNC3=O)C#N)C2(C)C)NC(=O)C(F)(F)F,485.5,34,7
162533626,13.0,CC1(C2C1C(N(C2)C(=O)COC3=CC(=C(C=C3)F)F)C(=O)NC(CC4CCNC4=O)C=O)C,463.5,33,8
162533632,13.0,CC1(C2C1C(N(C2)C(=O)COC3=C(C=C(C=C3)Br)Cl)C(=O)NC(CC4CCNC4=O)C=O)C,540.8,33,8
162533635,13.0,CC1(C2C1C(N(C2)C(=O)COC3=C(C=C(C=C3)Cl)Cl)C(=O)NC(CC4CCNC4=O)C=O)C,496.4,33,8
162533924,13.0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,531.9,37,6
162680154,13.0,CC(C)(C)CC(C(=O)NN(CCC(=O)N)C(=O)C(F)Cl)NC(=O)C1=NC2=CC=CC=C2N1,468.9,32,8
162680159,620.0,CC1=CC(=NO1)C(=O)NC(CC2CCC2)C(=O)NN(CC3CCNC3=O)C(=O)C(F)Cl,457.9,31,8
162680171,13.0,CC(C)CC(C(=O)NN(CCC(=O)N)C(=O)C(F)Cl)NC(=O)C1=CC2=C(N1)C=NC=C2,454.9,31,9
164532020,13.0,C1CC1CC(C(=O)NC(CC2CCNC2=O)C(=O)C(=O)N)NC(=O)C=CC3=C(C=C(C=C3)Cl)F,492.9,34,11
165112132,13.0,CC(C)(C)CC(C(=O)NC(CC1CCNC1=O)C(=O)C(=O)NC2CC2)NC(=O)CC(C3=CC=CC=C3)C(F)(F)F,566.6,40,12
165112133,13.0,CC(C)CC(C(=O)NC(CC1CCNC1=O)C(=O)C(=O)N)NC(=O)C=CC2=C(C=C(C=C2)Cl)F,494.9,34,11
165112134,13.0,CCNC(=O)C(=O)C(CC1CCNC1=O)NC(=O)C(CC2CC2)NC(=O)C=CC3=C(C=C(C=C3)Cl)F,521.0,36,12
165112137,13.0,CCNC(=O)C(=O)C(CC1CCNC1=O)NC(=O)C(CC(C)(C)C)NC(=O)C=CC2=C(C=C(C=C2)Cl)F,537.0,37,11
165112138,13.0,CCNC(=O)C(=O)C(CC1CCNC1=O)NC(=O)C(CC2CC2)NC(=O)C=CC3=C(C=C(C=C3)Cl)Cl,537.4,36,12
165112141,13.0,CCC(CC(=O)NC(CC1CC1)C(=O)NC(CC2CCNC2=O)C(=O)C(=O)NC3CC3)C4=CC=CC=C4,510.6,37,14
154732741,14.0,C1=CC=C2C(=C1)N=NN2OC(=O)C(=O)C3=CC4=C(N3)C=C(C=C4)F,324.27,24,3
156023321,14.0,CC1=CC(=C(C(=N1)C)C(=O)OCC(=O)C(CC2CCCNC2=O)NC(=O)C(CC(C)C)NC(=O)C3=CC4=C(N3)C=CC=C4OC)C(F)(F)F,687.7,49,13
156882198,14.0,CC1=C(C=CC=N1)C(=O)OCC(=O)C(CC2CCNC2=O)NC(=O)C(CC(C)C)NC(=O)C3=CC4=C(N3)C=CC=C4OC,591.7,43,13
156882229,14.0,CC1=C(C(=NC=C1)CN(C)C)C(=O)OCC(=O)C(CC2CCNC2=O)NC(=O)C(CC(C)C)NC(=O)C3=CC4=C(N3)C=CC=C4OC,648.7,47,15
162396364,14.0,CC(C)CC(C(=O)NC(CC1CCNC1=O)C(=O)COC(=O)CC2=CC=CC=C2CN(C)C)NC(=O)C3=CC4=C(N3)C=CC=C4OC,647.8,47,16
162396457,14.0,CC1(C2C1C(N(C2)C(=O)C(CN3C=CC=N3)NC(=O)C(F)(F)F)C(=O)NC(CC4CCNC4=O)C#N)C,523.5,37,8
162680127,14.0,CC(C)CC(C(=O)NN(CCC(=O)N)C(=O)CCl)NC(=O)C1=CC2=CC(=NC=C2N1)OC,466.9,32,10
162680134,14.0,CC(C)CC(C(=O)NN(CCC(=O)N)C(=O)CCl)NC(=O)C1=CC2=C(N1)C=CN=C2,436.9,30,9
162680135,14.0,CC(C)CC(C(=O)NN(CCC(=O)N)C(=O)C(F)Cl)NC(=O)C1=CC2=C(N1)C=CC=C2Cl,488.3,32,9
155489962,15.0,CC(C)C(C(=O)NC(CC1=CC=CC=C1)C(=O)NC(CC2CCNC2=O)C=O)NC(=O)OCC3=CC=CC=C3,536.6,39,13
155803066,15.0,CC1(C2C1C(N(C2)C(=O)COC3=CC(=C(C=C3)OC)OC)C(=O)NC(CC4CCNC4=O)C=O)C,487.5,35,10
155803069,15.0,CC1(C2C1C(N(C2)C(=O)COC3=CC=C(C=C3)OC(F)(F)F)C(=O)NC(CC4CCNC4=O)C=O)C,511.5,36,9
162396454,15.0,CC1(C2C1C(N(C2)C(=O)C(CC3=CC=CC=N3)NC(=O)C(F)(F)F)C(=O)NC(CC4CCNC4=O)C#N)C,534.5,38,8
162533627,15.0,CC1(C2C1C(N(C2)C(=O)COC3=CC(=C(C=C3)OC)OC)C(=O)NC(CC4CCNC4=O)C=O)C,487.5,35,10
162533630,15.0,CC1(C2C1C(N(C2)C(=O)COC3=CC=C(C=C3)OC(F)(F)F)C(=O)NC(CC4CCNC4=O)C=O)C,511.5,36,9
162680129,15.0,CC(C)CC(C(=O)NN(CCC(=O)N)C(=O)C(F)Cl)NC(=O)C1=CC2=C(N1)C=CC=C2OC,483.9,33,10
162680132,60.0,CC(C)CC(C(=O)NN(CC1CCNC1=O)C(=O)CCl)NC(=O)C2=CC3=CC=CC=C3N2,461.9,32,8
162680157,94.0,CC1=CC(=NO1)C(=O)NC(CC2(CC2)C)C(=O)NN(CC3CCNC3=O)C(=O)C(F)Cl,457.9,31,8
162396450,16.0,CC1(C2C1C(N(C2)C(=O)C(CCC(F)(F)F)NC(=O)C(F)(F)F)C(=O)NC(CC3CCNC3=O)C#N)C,539.5,37,8
164531953,16.0,C1CC1CC(C(=O)NC(CC2CCNC2=O)C(=O)C(=O)NC3CC3)NC(=O)OCC4=CC=CC=C4,484.5,35,12
165112128,16.0,CC(CC(=O)NC(CC(C)(C)C)C(=O)NC(CC1CCNC1=O)C(=O)C(=O)NC2CC2)C3=CC=CC=C3,512.6,37,12
165112129,16.0,CC(CC(=O)NC(CC(C)(C)C)C(=O)NC(CC1CCNC1=O)C(=O)C(=O)NC2CC2)C3=CC=CC=C3,512.6,37,12
